experiment_id,activ_fun,lr_schedule,total_steps,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,c2st,nlp,seed
exp500000.0928501,silu,exp_decay,50000,10000,0.0,8,5,,,2
exp500000.0001958501,silu,exp_decay,50000,10000,0.0001,8,5,,,5
exp500000.0948501,silu,exp_decay,50000,10000,0.0,8,5,,,4
exp500000.0968501,silu,exp_decay,50000,10000,0.0,8,5,,,6
exp500000.0958501,silu,exp_decay,50000,10000,0.0,8,5,,,5
exp500000.0001928501,silu,exp_decay,50000,10000,0.0001,8,5,,,2
exp500000.0001948501,silu,exp_decay,50000,10000,0.0001,8,5,,,4
exp500000.0001968501,silu,exp_decay,50000,10000,0.0001,8,5,,,6
exp500000.0001938501,silu,exp_decay,50000,10000,0.0001,8,5,,,3
exp500000.0938501,silu,exp_decay,50000,10000,0.0,8,5,,,3
exp500000.00019108501,silu,exp_decay,50000,10000,0.0001,8,5,,,10
exp500000.09108501,silu,exp_decay,50000,10000,0.0,8,5,,,10
exp500000.0001978501,silu,exp_decay,50000,10000,0.0001,8,5,,,7
exp500000.0998501,silu,exp_decay,50000,10000,0.0,8,5,,,9
exp500000.0001988501,silu,exp_decay,50000,10000,0.0001,8,5,,,8
exp500000.0001998501,silu,exp_decay,50000,10000,0.0001,8,5,,,9
exp500000.0988501,silu,exp_decay,50000,10000,0.0,8,5,,,8
exp500000.0978501,silu,exp_decay,50000,10000,0.0,8,5,,,7
exp500000.09158501,silu,exp_decay,50000,10000,0.0,8,5,,,15
exp500000.00019158501,silu,exp_decay,50000,10000,0.0001,8,5,,,15
exp500000.0001088501,silu,exp_decay,50000,1000,0.0001,8,5,,,8
exp500000.0001588501,silu,exp_decay,50000,30000,0.0001,8,5,,,8
exp500000.00011088501,silu,exp_decay,50000,55000,0.0001,8,5,,,8
exp500000.0001388501,silu,exp_decay,50000,20000,0.0001,8,5,,,8
exp500000.0001788501,silu,exp_decay,50000,40000,0.0001,8,5,,,8
exp500000.0001488501,silu,exp_decay,50000,25000,0.0001,8,5,,,8
exp500000.0001288501,silu,exp_decay,50000,15000,0.0001,8,5,,,8
exp500000.0001688501,silu,exp_decay,50000,35000,0.0001,8,5,,,8
exp500000.0001188501,silu,exp_decay,50000,5000,0.0001,8,5,,,8
exp500000.0001888501,silu,exp_decay,50000,45000,0.0001,8,5,,,8
exp500000.00011188501,silu,exp_decay,50000,60000,0.0001,8,5,,,8
exp500000.00011388501,silu,exp_decay,50000,70000,0.0001,8,5,,,8
