experiment_id,sbi_method,proposal,activ_fun,lr_schedule,total_steps,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,seed
exp_npe_ps_50000_0_1000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,2
exp_npe_ps_50000_0_1000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,3
exp_npe_ps_50000_0_1000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,4
exp_npe_ps_50000_0_1000_5_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,5
exp_npe_ps_50000_0_1000_6_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,6
exp_npe_ps_50000_0_1000_7_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,7
exp_npe_ps_50000_0_1000_8_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,8
exp_npe_ps_50000_0_1000_9_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,1000,0,8,5,9
exp_npe_ps_50000_0_5000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,2
exp_npe_ps_50000_0_5000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,3
exp_npe_ps_50000_0_5000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,4
exp_npe_ps_50000_0_5000_5_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,5
exp_npe_ps_50000_0_5000_6_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,6
exp_npe_ps_50000_0_5000_7_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,7
exp_npe_ps_50000_0_5000_8_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,8
exp_npe_ps_50000_0_5000_9_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,5000,0,8,5,9
exp_npe_ps_50000_0_15000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,2
exp_npe_ps_50000_0_15000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,3
exp_npe_ps_50000_0_15000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,4
exp_npe_ps_50000_0_15000_5_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,5
exp_npe_ps_50000_0_15000_6_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,6
exp_npe_ps_50000_0_15000_7_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,7
exp_npe_ps_50000_0_15000_8_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,8
exp_npe_ps_50000_0_15000_9_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,15000,0,8,5,9
exp_npe_ps_50000_0_20000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,2
exp_npe_ps_50000_0_20000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,3
exp_npe_ps_50000_0_20000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,4
exp_npe_ps_50000_0_20000_5_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,5
exp_npe_ps_50000_0_20000_6_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,6
